,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
5,1,1,1,0,0,0,0,0,0,0,0,0,0,7,0,5
6,1,0,0,0,0,1,1,0,0,0,0,0,0,7,0,6
8,1,0,1,0,0,0,0,1,0,0,0,0,0,7,0,8
13,1,1,0,1,0,0,0,0,0,0,0,0,0,7,0,13
19,0,1,0,0,0,0,0,0,0,1,1,0,0,6,1,19
20,1,1,1,0,0,0,0,0,0,0,0,0,0,6,1,20
21,0,1,1,0,0,0,0,1,0,0,0,0,0,6,1,21
24,0,1,0,1,0,0,0,0,0,0,0,0,1,6,1,24
28,1,1,0,0,0,0,0,1,0,0,0,0,0,6,1,28
31,0,0,1,0,0,1,0,0,1,0,0,0,0,8,2,31
32,1,0,1,0,0,0,0,0,1,0,0,0,0,8,2,32
34,0,1,1,0,0,0,0,1,0,0,0,0,0,8,2,34
35,0,0,1,1,0,0,0,0,1,0,0,0,0,8,2,35
46,0,0,0,1,0,1,0,0,0,0,0,0,1,8,3,46
48,0,1,0,1,0,0,1,0,0,0,0,0,0,8,3,48
52,0,0,1,1,0,0,0,0,0,0,0,0,1,8,3,52
56,1,0,0,1,0,0,1,0,0,0,0,0,0,8,3,56
63,0,0,0,0,1,0,1,0,0,1,0,0,0,10,4,63
66,0,1,0,0,1,0,0,0,0,1,0,0,0,10,4,66
69,1,0,0,0,1,0,0,0,1,0,0,0,0,10,4,69
70,0,1,1,0,1,0,0,0,0,0,0,0,0,10,4,70
74,0,0,1,0,1,0,0,1,0,0,0,0,0,10,4,74
83,0,0,0,1,1,1,0,0,0,0,0,0,0,10,4,83
88,0,0,0,0,0,1,0,0,0,0,1,0,1,8,5,88
96,0,0,1,0,0,1,0,1,0,0,0,0,0,8,5,96
100,0,0,0,1,1,1,0,0,0,0,0,0,0,8,5,100
104,0,0,0,0,0,0,1,0,1,0,0,0,1,8,6,104
105,0,0,0,1,0,0,1,0,0,0,0,0,1,8,6,105
106,0,0,1,0,0,0,1,0,0,0,1,0,0,8,6,106
109,0,1,1,0,0,0,1,0,0,0,0,0,0,8,6,109
111,1,0,0,0,0,0,1,0,0,1,0,0,0,8,6,111
116,0,1,0,0,0,0,1,0,0,1,0,0,0,8,6,116
119,1,1,0,0,0,0,1,0,0,0,0,0,0,8,6,119
121,0,0,1,0,0,0,0,1,0,0,0,1,0,8,7,121
122,0,0,0,1,0,0,0,1,0,1,0,0,0,8,7,122
123,0,0,0,0,1,1,0,1,0,0,0,0,0,8,7,123
128,0,1,0,0,0,0,1,1,0,0,0,0,0,8,7,128
130,1,0,0,0,0,0,0,1,1,0,0,0,0,8,7,130
137,0,0,0,0,0,0,1,1,1,0,0,0,0,8,8,137
139,0,1,0,1,0,0,0,0,1,0,0,0,0,8,8,139
140,0,0,1,0,1,0,0,0,1,0,0,0,0,8,8,140
142,0,1,0,0,0,0,1,0,1,0,0,0,0,8,8,142
143,0,0,0,1,0,1,0,0,1,0,0,0,0,8,8,143
147,1,0,0,0,0,1,0,0,1,0,0,0,0,8,8,147
153,1,0,0,1,0,0,0,0,0,1,0,0,0,8,9,153
154,0,1,0,0,0,0,0,0,0,1,0,1,0,8,9,154
155,0,0,0,1,1,0,0,0,0,1,0,0,0,8,9,155
157,0,1,0,1,0,0,0,0,0,1,0,0,0,8,9,157
160,0,0,1,0,0,0,0,0,0,1,0,0,1,8,9,160
161,0,0,0,0,0,0,0,0,0,1,1,1,0,8,9,161
166,0,1,1,0,0,0,0,0,0,1,0,0,0,8,9,166
169,0,0,0,0,0,1,1,0,0,0,1,0,0,4,10,169
172,1,0,0,0,0,0,0,0,1,0,1,0,0,4,10,172
173,0,0,1,0,0,0,0,1,0,0,1,0,0,4,10,173
174,0,1,0,0,1,0,0,0,0,0,1,0,0,4,10,174
175,0,1,0,1,0,0,0,0,0,0,1,0,0,4,10,175
176,0,0,0,1,0,0,0,0,1,0,0,1,0,9,11,176
177,0,0,0,0,1,0,0,0,0,0,1,1,0,9,11,177
178,0,0,1,0,0,1,0,0,0,0,0,1,0,9,11,178
186,1,0,0,0,0,0,1,0,0,0,0,1,0,9,11,186
188,0,1,1,0,0,0,0,0,0,0,0,1,0,9,11,188
191,0,1,0,0,0,0,0,1,0,0,0,1,0,9,11,191
196,0,0,0,1,0,0,1,0,0,0,0,0,1,6,12,196
197,0,1,0,0,0,0,1,0,0,0,0,0,1,6,12,197
199,1,0,0,0,0,0,0,0,0,1,0,0,1,6,12,199
200,0,0,0,0,0,0,1,0,0,1,0,0,1,6,12,200
